"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Preferred Cluster Size","","0",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Registers Per Thread","register/thread","40",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Shared Memory Configuration Size","Kbyte","32.77",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Driver Shared Memory Per Block","Kbyte/block","1.02",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Dynamic Shared Memory Per Block","byte/block","0",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Static Shared Memory Per Block","byte/block","16",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","# SMs","SM","70",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Stack Size","","1024",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Threads","thread","606592",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","# TPCs","","35",
